"DSQTPHOS.Code.or.Value","DSQTPHOS.Value.Description","DSQTPHOS.Count","DSQTPHOS.Cumulative","DSQTPHOS.Skip.to.Item"
"0.9 to 2000","Range of Values",1354,1354,NA
".","Missing",8795,10149,NA
