"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",1460,1460,NA
"2","Monday",698,2158,NA
"3","Tuesday",887,3045,NA
"4","Wednesday",821,3866,NA
"5","Thursday",728,4594,NA
"6","Friday",2228,6822,NA
"7","Saturday",1961,8783,NA
".","Missing",1030,9813,NA
