"AUXTPVR.Code.or.Value","AUXTPVR.Value.Description","AUXTPVR.Count","AUXTPVR.Cumulative","AUXTPVR.Skip.to.Item"
"0.2 to 5.6","Range of Values",2741,2741,NA
"777","Refused",3,2744,NA
"888","Could not obtain",32,2776,NA
".","Missing",258,3034,NA
