"BPQ150D.Code.or.Value","BPQ150D.Value.Description","BPQ150D.Count","BPQ150D.Cumulative","BPQ150D.Skip.to.Item"
"1","Yes",62,62,NA
"2","No",7857,7919,NA
".","Missing",2558,10477,NA
