"CIQP13I.Code.or.Value","CIQP13I.Value.Description","CIQP13I.Count","CIQP13I.Cumulative","CIQP13I.Skip.to.Item"
"1","Yes",52,52,NA
"2","No",66,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
