"OHXIMP.Code.or.Value","OHXIMP.Value.Description","OHXIMP.Count","OHXIMP.Cumulative","OHXIMP.Skip.to.Item"
"1","Yes",36,36,NA
"2","No",7255,7291,NA
".","Missing",2307,9598,NA
