"RFXT073.Code.or.Value","RFXT073.Value.Description","RFXT073.Count","RFXT073.Cumulative","RFXT073.Skip.to.Item"
"628 to 637","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
