"LBDST1LC.Code.or.Value","LBDST1LC.Value.Description","LBDST1LC.Count","LBDST1LC.Cumulative","LBDST1LC.Skip.to.Item"
"0","At or above the detection limit",4420,4420,NA
"1","Below lower detection limit",0,4420,NA
".","Missing",1223,5643,NA
