"GTDDR1MN.Code.or.Value","GTDDR1MN.Value.Description","GTDDR1MN.Count","GTDDR1MN.Cumulative","GTDDR1MN.Skip.to.Item"
"1 to 74","Range of Values",2409,2409,NA
".","Missing",500,2909,NA
