"LBXHIV1.Code.or.Value","LBXHIV1.Value.Description","LBXHIV1.Count","LBXHIV1.Cumulative","LBXHIV1.Skip.to.Item"
"1","Reactive",15,15,NA
"2","Non-reactive",2,17,NA
"3","Indeterminate",0,17,NA
".","Missing",3498,3515,NA
