"DXXL2BMC.Code.or.Value","DXXL2BMC.Value.Description","DXXL2BMC.Count","DXXL2BMC.Cumulative","DXXL2BMC.Skip.to.Item"
"2.89 to 33.96","Range of Values",6216,6216,NA
".","Missing",1504,7720,NA
