"DSDCOUNT.Code.or.Value","DSDCOUNT.Value.Description","DSDCOUNT.Count","DSDCOUNT.Cumulative","DSDCOUNT.Skip.to.Item"
"0 to 20","Range of Values",10093,10093,NA
"77","Refused",6,10099,NA
"99","Don't know",9,10108,NA
".","Missing",14,10122,NA
