"DSQIPFAT.Code.or.Value","DSQIPFAT.Value.Description","DSQIPFAT.Count","DSQIPFAT.Cumulative","DSQIPFAT.Skip.to.Item"
"0.006 to 18","Range of Values",369,369,NA
".","Missing",8748,9117,NA
