"ACD040.Code.or.Value","ACD040.Value.Description","ACD040.Count","ACD040.Cumulative","ACD040.Skip.to.Item"
"1","Only Spanish,",1051,1051,NA
"2","More Spanish than English,",359,1410,NA
"3","Both equally,",460,1870,NA
"4","More English than Spanish, or",347,2217,NA
"5","Only English?",547,2764,NA
"7","Refused",0,2764,NA
"9","Don't know",4,2768,NA
".","Missing",4527,7295,NA
