"OPDSASHY.Code.or.Value","OPDSASHY.Value.Description","OPDSASHY.Count","OPDSASHY.Cumulative","OPDSASHY.Skip.to.Item"
"0","No",2439,2439,NA
"1","Questionable",5,2444,NA
"2","Yes",9,2453,NA
"3","Yes, in center",1,2454,NA
".","Missing",480,2934,NA
