"LBXBMN.Code.or.Value","LBXBMN.Value.Description","LBXBMN.Count","LBXBMN.Cumulative","LBXBMN.Skip.to.Item"
"1.61 to 62.51","Range of Values",7920,7920,NA
".","Missing",1036,8956,NA
