"DS2ILYCO.Code.or.Value","DS2ILYCO.Value.Description","DS2ILYCO.Count","DS2ILYCO.Cumulative","DS2ILYCO.Skip.to.Item"
"75 to 30000","Range of Values",855,855,NA
".","Missing",4793,5648,NA
