"DXXTSBMD.Code.or.Value","DXXTSBMD.Value.Description","DXXTSBMD.Count","DXXTSBMD.Cumulative","DXXTSBMD.Skip.to.Item"
"0.383 to 1.491","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
