"DS1TVB12.Code.or.Value","DS1TVB12.Value.Description","DS1TVB12.Count","DS1TVB12.Cumulative","DS1TVB12.Skip.to.Item"
"0.08 to 10006.7","Range of Values",1735,1735,NA
".","Missing",8078,9813,NA
