"DIQ050.Code.or.Value","DIQ050.Value.Description","DIQ050.Count","DIQ050.Cumulative","DIQ050.Skip.to.Item"
"1","Yes",138,138,""
"2","No",6509,6647,"DIQ065"
"7","Refused",1,6648,"DIQ065"
"9","Don't know",1,6649,"DIQ065"
".","Missing",2844,9493,""
