"DBQ235B.Code.or.Value","DBQ235B.Value.Description","DBQ235B.Count","DBQ235B.Cumulative","DBQ235B.Skip.to.Item"
"0","Never",75,75,NA
"1","Rarely-less than once a week",242,317,NA
"2","Sometimes-once a week or more, but less than once a day",787,1104,NA
"3","Often-once a day or more",2747,3851,NA
"4","Varied",22,3873,NA
"7","Refused",0,3873,NA
"9","Don't know",25,3898,NA
".","Missing",6450,10348,NA
