"PAQ540.Code.or.Value","PAQ540.Value.Description","PAQ540.Count","PAQ540.Cumulative","PAQ540.Skip.to.Item"
"1","More active now,",525,525,NA
"2","Less active now, or",2731,3256,NA
"3","About the same?",1123,4379,NA
"7","Refused",4,4383,NA
"9","Don't know",6,4389,NA
".","Missing",5705,10094,NA
