"SDMVPSU.Code.or.Value","SDMVPSU.Value.Description","SDMVPSU.Count","SDMVPSU.Cumulative","SDMVPSU.Skip.to.Item"
"1 to 2","Range of Values",9971,9971,NA
".","Missing",0,9971,NA
