"RFXC118.Code.or.Value","RFXC118.Value.Description","RFXC118.Count","RFXC118.Cumulative","RFXC118.Skip.to.Item"
"-4.878 to 5.664","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
