"DS1IVB2.Code.or.Value","DS1IVB2.Value.Description","DS1IVB2.Count","DS1IVB2.Cumulative","DS1IVB2.Skip.to.Item"
"0.013 to 200","Range of Values",1714,1714,NA
".","Missing",4192,5906,NA
