"RFXC020.Code.or.Value","RFXC020.Value.Description","RFXC020.Count","RFXC020.Cumulative","RFXC020.Skip.to.Item"
"-5.877 to 3.74","Range of Values",51072,51072,NA
".","Missing",4,51076,NA
