"DR1DBIH.Code.or.Value","DR1DBIH.Value.Description","DR1DBIH.Count","DR1DBIH.Cumulative","DR1DBIH.Skip.to.Item"
"-60 to 73","Range of Values",9273,9273,NA
".","Missing",489,9762,NA
