"DRD370D.Code.or.Value","DRD370D.Value.Description","DRD370D.Count","DRD370D.Cumulative","DRD370D.Skip.to.Item"
"1","Yes",740,740,""
"2","No",4340,5080,"DRD370E"
".","Missing",4202,9282,""
