"URXMU4.Code.or.Value","URXMU4.Value.Description","URXMU4.Count","URXMU4.Cumulative","URXMU4.Skip.to.Item"
"0.04 to 2020","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
