"PAQ560.Code.or.Value","PAQ560.Value.Description","PAQ560.Count","PAQ560.Cumulative","PAQ560.Skip.to.Item"
"0 to 77","Range of Values",2219,2219,NA
"77777","Refused",0,2219,NA
"99999","Don't know",10,2229,NA
".","Missing",7865,10094,NA
