"MPQ120c.Code.or.Value","MPQ120c.Value.Description","MPQ120c.Count","MPQ120c.Cumulative","MPQ120c.Skip.to.Item"
"12","Shoulder girdle - right",154,154,NA
".","Missing",4726,4880,NA
