"DR1IS120.Code.or.Value","DR1IS120.Value.Description","DR1IS120.Count","DR1IS120.Cumulative","DR1IS120.Skip.to.Item"
"0 to 17.106","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
