"OHAEXSTS.Code.or.Value","OHAEXSTS.Value.Description","OHAEXSTS.Count","OHAEXSTS.Cumulative","OHAEXSTS.Skip.to.Item"
"1","Completed",6589,6589,NA
"2","Partial",1493,8082,NA
"3","Not Done",505,8587,NA
".","Missing",0,8587,NA
