"WHD020.Code.or.Value","WHD020.Value.Description","WHD020.Count","WHD020.Cumulative","WHD020.Skip.to.Item"
"75 to 600","Range of Values",6211,6211,NA
"7777","Refused",9,6220,NA
"9999","Don't know",107,6327,NA
".","Missing",0,6327,NA
