"URXCB3.Code.or.Value","URXCB3.Value.Description","URXCB3.Count","URXCB3.Cumulative","URXCB3.Skip.to.Item"
"0.35 to 10.04","Range of Values",2746,2746,NA
".","Missing",85,2831,NA
