"MCQ260FE.Code.or.Value","MCQ260FE.Value.Description","MCQ260FE.Count","MCQ260FE.Cumulative","MCQ260FE.Skip.to.Item"
"5","Father's mother",62,62,"MCQ250G"
".","Missing",9431,9493,""
