"PAXORENT.Code.or.Value","PAXORENT.Value.Description","PAXORENT.Count","PAXORENT.Cumulative","PAXORENT.Skip.to.Item"
"1","Dorsal",6849,6849,NA
"2","Palmar",63,6912,NA
"< blank >","Missing",909,7821,NA
