"GTDSCMMN.Code.or.Value","GTDSCMMN.Value.Description","GTDSCMMN.Count","GTDSCMMN.Cumulative","GTDSCMMN.Skip.to.Item"
"0 to 10","Range of Values",2329,2329,NA
".","Missing",486,2815,NA
