"CFDRIGHT.Code.or.Value","CFDRIGHT.Value.Description","CFDRIGHT.Count","CFDRIGHT.Cumulative","CFDRIGHT.Skip.to.Item"
"0 to 117","Range of Values",1417,1417,NA
".","Missing",417,1834,NA
