"LBC206LA.Code.or.Value","LBC206LA.Value.Description","LBC206LA.Count","LBC206LA.Cumulative","LBC206LA.Skip.to.Item"
"0.1344 to 34.91","Range of Values",280,280,NA
".","Missing",4,284,NA
