"SPXNFVC.Code.or.Value","SPXNFVC.Value.Description","SPXNFVC.Count","SPXNFVC.Cumulative","SPXNFVC.Skip.to.Item"
"614 to 8084","Range of Values",6319,6319,NA
".","Missing",1424,7743,NA
