"SPXBFVC.Code.or.Value","SPXBFVC.Value.Description","SPXBFVC.Count","SPXBFVC.Cumulative","SPXBFVC.Skip.to.Item"
"1211 to 7738","Range of Values",611,611,NA
".","Missing",7132,7743,NA
