"AUXU500L.Code.or.Value","AUXU500L.Value.Description","AUXU500L.Count","AUXU500L.Cumulative","AUXU500L.Skip.to.Item"
"-10 to 95","Range of Values",1881,1881,NA
"666","No response",1,1882,NA
"888","Could not obtain",0,1882,NA
".","Missing",164,2046,NA
