"AUXTCOML.Code.or.Value","AUXTCOML.Value.Description","AUXTCOML.Count","AUXTCOML.Cumulative","AUXTCOML.Skip.to.Item"
"0 to 4.5","Range of Values",1775,1775,NA
"777","Refused",0,1775,NA
"888","Could not obtain",9,1784,NA
".","Missing",105,1889,NA
