"FSQ162.Code.or.Value","FSQ162.Value.Description","FSQ162.Count","FSQ162.Cumulative","FSQ162.Skip.to.Item"
"1","Yes",1860,1860,NA
"2","No",6099,7959,NA
"7","Refused",20,7979,NA
"9","Don't know",2,7981,NA
".","Missing",2141,10122,NA
