"DR1TP184.Code.or.Value","DR1TP184.Value.Description","DR1TP184.Count","DR1TP184.Cumulative","DR1TP184.Skip.to.Item"
"0 to 0.635","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
