"DRD370FQ.Code.or.Value","DRD370FQ.Value.Description","DRD370FQ.Count","DRD370FQ.Cumulative","DRD370FQ.Skip.to.Item"
"1 to 30","Range of Values",76,76,NA
".","Missing",10401,10477,NA
