"LBDEN1LC.Code.or.Value","LBDEN1LC.Value.Description","LBDEN1LC.Count","LBDEN1LC.Cumulative","LBDEN1LC.Skip.to.Item"
"0","At or above the detection limit",4029,4029,NA
"1","Below lower detection limit",0,4029,NA
".","Missing",1614,5643,NA
