"MCQ160F.Code.or.Value","MCQ160F.Value.Description","MCQ160F.Count","MCQ160F.Cumulative","MCQ160F.Skip.to.Item"
"1","Yes",190,190,"MCQ180F"
"2","No",4687,4877,""
"7","Refused",0,4877,""
"9","Don't know",3,4880,""
".","Missing",4613,9493,""
