"DS1TCAFF.Code.or.Value","DS1TCAFF.Value.Description","DS1TCAFF.Count","DS1TCAFF.Cumulative","DS1TCAFF.Skip.to.Item"
"52 to 246","Range of Values",17,17,NA
".","Missing",9527,9544,NA
