"URXUSN.Code.or.Value","URXUSN.Value.Description","URXUSN.Count","URXUSN.Cumulative","URXUSN.Skip.to.Item"
"0.156 to 219.64","Range of Values",2272,2272,NA
".","Missing",77,2349,NA
