"VIQ211.Code.or.Value","VIQ211.Value.Description","VIQ211.Count","VIQ211.Cumulative","VIQ211.Skip.to.Item"
"1","Right",64,64,NA
"2","Left",47,111,NA
"3","Both",268,379,NA
"9","Don't know",2,381,NA
".","Missing",7064,7445,NA
