"HOD050.Code.or.Value","HOD050.Value.Description","HOD050.Count","HOD050.Cumulative","HOD050.Skip.to.Item"
"1 to 12","Range of Values",9709,9709,NA
"13","13 or More",70,9779,NA
"777","Refused",12,9791,NA
"999","Don't know",13,9804,NA
".","Missing",161,9965,NA
