"DR2TACAR.Code.or.Value","DR2TACAR.Value.Description","DR2TACAR.Count","DR2TACAR.Cumulative","DR2TACAR.Skip.to.Item"
"0 to 15864","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
