"AUXR2KR.Code.or.Value","AUXR2KR.Value.Description","AUXR2KR.Count","AUXR2KR.Cumulative","AUXR2KR.Skip.to.Item"
"40 to 85","Range of Values",7,7,NA
"666","No response",1,8,NA
"888","Could not obtain",0,8,NA
".","Missing",1799,1807,NA
