"CVAARM.Code.or.Value","CVAARM.Value.Description","CVAARM.Count","CVAARM.Cumulative","CVAARM.Skip.to.Item"
"1","Right",3179,3179,NA
"2","Left",30,3209,NA
"3","Could not obtain",0,3209,NA
".","Missing",1393,4602,NA
