"WBXP056.Code.or.Value","WBXP056.Value.Description","WBXP056.Count","WBXP056.Cumulative","WBXP056.Skip.to.Item"
"-91.3957 to 147.1066","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
