"AUXRR271.Code.or.Value","AUXRR271.Value.Description","AUXRR271.Count","AUXRR271.Cumulative","AUXRR271.Skip.to.Item"
"-22 to 78","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
