"VIQ160.Code.or.Value","VIQ160.Value.Description","VIQ160.Count","VIQ160.Cumulative","VIQ160.Skip.to.Item"
"1","Yes",2048,2048,""
"2","No",339,2387,"VIXNC1"
".","Missing",4530,6917,""
