"RFXC027.Code.or.Value","RFXC027.Value.Description","RFXC027.Count","RFXC027.Cumulative","RFXC027.Skip.to.Item"
"-6.576 to 3.6","Range of Values",51068,51068,NA
".","Missing",8,51076,NA
