"VTQ260A.Code.or.Value","VTQ260A.Value.Description","VTQ260A.Count","VTQ260A.Cumulative","VTQ260A.Skip.to.Item"
"1","Yes",182,182,NA
"2","No",2936,3118,NA
"7","Refused",0,3118,NA
"9","Don't know",0,3118,NA
".","Missing",297,3415,NA
