"SMD630.Code.or.Value","SMD630.Value.Description","SMD630.Count","SMD630.Cumulative","SMD630.Skip.to.Item"
"7 to 19","Range of Values",198,198,""
"6","6 years or less",0,198,""
"77","Refused",0,198,"SMAQUEX2"
"99","Don't know",0,198,"SMAQUEX2"
".","Missing",6592,6790,""
