"SIAINTRP.Code.or.Value","SIAINTRP.Value.Description","SIAINTRP.Count","SIAINTRP.Cumulative","SIAINTRP.Skip.to.Item"
"1","Yes",342,342,NA
"2","No",9833,10175,NA
".","Missing",0,10175,NA
