"PAQ759t.Code.or.Value","PAQ759t.Value.Description","PAQ759t.Count","PAQ759t.Cumulative","PAQ759t.Skip.to.Item"
"20","TRAMPOLINE",1,1,NA
".","Missing",9483,9484,NA
